Date,Open,High,Low,Close,Adj Close,Volume
08-04-2020,3.52,3.63,3.49,3.63,3.63,261300
09-04-2020,3.77,3.83,3.73,3.82,3.82,346400
13-04-2020,3.62,3.84,3.62,3.68,3.68,235600
14-04-2020,3.71,3.79,3.62,3.69,3.69,765000
15-04-2020,3.42,3.43,3.3,3.36,3.36,193800
16-04-2020,3.37,3.37,3.28,3.35,3.35,238400
17-04-2020,3.45,3.56,3.4,3.55,3.55,361900
20-04-2020,3.46,3.54,3.43,3.45,3.45,351300
21-04-2020,3.39,3.46,3.32,3.36,3.36,575200
22-04-2020,3.44,3.5,3.4,3.44,3.44,188300
23-04-2020,3.48,3.64,3.48,3.54,3.54,168600
24-04-2020,3.53,3.57,3.47,3.56,3.56,176400
27-04-2020,3.55,3.69,3.51,3.67,3.67,460000
28-04-2020,3.95,3.95,3.84,3.87,3.87,416000
29-04-2020,4.1,4.2,4.08,4.18,4.18,357400
30-04-2020,3.87,3.98,3.83,3.94,3.94,375100
01-05-2020,3.9,4.07,3.78,3.83,3.83,192200
04-05-2020,3.77,3.82,3.71,3.76,3.76,155800
05-05-2020,3.8,3.91,3.76,3.76,3.76,277700
06-05-2020,3.82,3.83,3.69,3.69,3.69,215600
07-05-2020,3.8,3.85,3.74,3.82,3.82,501000
08-05-2020,3.89,3.91,3.83,3.91,3.91,144800
11-05-2020,3.83,3.83,3.72,3.77,3.77,179200
12-05-2020,3.74,3.77,3.67,3.69,3.69,389200
13-05-2020,3.65,3.68,3.6,3.64,3.64,163100
14-05-2020,3.52,3.64,3.42,3.6,3.6,234200
15-05-2020,3.71,3.71,3.6,3.62,3.62,2801900
18-05-2020,3.77,3.95,3.74,3.92,3.92,316200
19-05-2020,3.77,3.83,3.69,3.69,3.69,533800
20-05-2020,3.76,3.84,3.76,3.78,3.78,5942800
21-05-2020,3.74,3.77,3.68,3.71,3.71,252600
22-05-2020,3.73,3.73,3.67,3.72,3.72,90100
26-05-2020,3.96,4.16,3.96,4.1,4.1,130000
27-05-2020,4.35,4.38,4.27,4.37,4.37,280700
28-05-2020,4.36,4.39,4.31,4.32,4.32,103800
29-05-2020,4.31,4.35,4.24,4.26,4.26,202300
01-06-2020,4.36,4.43,4.35,4.42,4.42,130900
02-06-2020,4.5,4.55,4.49,4.52,4.52,122900
03-06-2020,4.65,4.75,4.65,4.74,4.74,105000
04-06-2020,4.73,4.85,4.73,4.85,4.85,44900
05-06-2020,5.06,5.11,5.02,5.03,5.03,43400
08-06-2020,5.25,5.25,5.12,5.16,5.16,79900
09-06-2020,4.9,4.94,4.84,4.89,4.89,144600
10-06-2020,4.9,4.9,4.75,4.75,4.75,88300
11-06-2020,4.55,4.62,4.38,4.38,4.38,115000
12-06-2020,4.57,4.61,4.46,4.58,4.58,104300
15-06-2020,4.41,4.62,4.41,4.59,4.59,144200
16-06-2020,4.71,4.72,4.59,4.59,4.59,80400
17-06-2020,4.63,4.63,4.56,4.56,4.56,32100
18-06-2020,4.52,4.58,4.5,4.55,4.55,65400
19-06-2020,4.61,4.61,4.37,4.38,4.38,107300
22-06-2020,4.43,4.53,4.43,4.52,4.52,80000
23-06-2020,4.74,4.75,4.64,4.67,4.67,54300
24-06-2020,4.58,4.58,4.45,4.48,4.48,29800
25-06-2020,4.5,4.63,4.5,4.63,4.63,30072
